PCP,Precision Castparts Corp
DIS,Walt Disney Company
TWTR,Twitter Inc
BAC,Bank of America Corp
XOM,Exxon Mobil Corp
AXP,American Express Company
T,AT&T Inc
BABA,Alibaba Group Holding Ltd.
JPM,JP Morgan Chase & Co
CAT,Caterpillar Inc
IBM,International Business Machines
WFC,Wells Fargo & Company
CVX,Chevron Corp
PG,Procter & Gamble Company
TWX,Time Warner Inc
VZ,Verizon Communications Inc
C,Citigroup Inc
SUNE,Sunedison Inc
GE,General Electric Company
BRK.B,Berkshire Hath Hld B
JNJ,Johnson & Johnson
UTX,United Technologies Corp
VLO,Valero Energy Corp
SLB,Schlumberger N.V.
ABBV,Abbvie Inc. Common Stock
PFE,Pfizer Inc
TSM,Taiwan Semiconductor Manufacturing
KMI,Kinder Morgan
AIG,American International Group
AGN,Allergan Plc
SYY,Sysco Corp
COP,Conocophillips
EOG,Eog Resources
APA,Apache Corp
BA,Boeing Company
PEP,Pepsico Inc
FCX,Freeport-Mcmoran Inc.
V,Visa Inc
UNP,Union Pacific Corp
HAL,Halliburton Company
WMT,Wal-Mart Stores
HD,Home Depot
LYB,Lyondellbasell Industries Nv
LOW,Lowe's Companies
MCD,McDonald's Corp
KO,Coca-Cola Company
BAX,Baxter International Inc
ORCL,Oracle Corp
TSO,Tesoro Petroleum Corp
GM,General Motors Company
NOV,National-Oilwell
BMY,Bristol-Myers Squibb Company
CVS,CVS Corp
MA,Mastercard Inc
GS,Goldman Sachs Group
CMG,Chipotle Mexican Grill
PSX,Phillips 66 Common Stock
DOW,DOW Chemical Company
NEE,Nextera Energy
KR,Kroger Company
OXY,Occidental Petroleum Corp
VRX,Valeant Pharmaceuticals International
DVN,Devon Energy Corp
SPG,Simon Property Group
DD,E.I. Du Pont De Nemours and Company
UNH,Unitedhealth Group Inc
VIPS,Vipshop Holdings Limited
EMR,Emerson Electric Company
HPQ,Hewlett-Packard Company
MRK,Merck & Company
DAL,Delta Air Lines Inc
EMC,EMC Corp
LVS,Las Vegas Sands
CF,Cf Industries Holdings
OCR,Omnicare
RCL,Royal Caribbean Cruises Ltd
AA,Alcoa Inc
BXLT,Baxalta Incorporated Common Sto
UPS,United Parcel Service
AMT,American Tower Corp
M,Macy's Inc
MET,Metlife Inc
DUK,Duke Energy Corp
LLY,Eli Lilly and Company
RAI,Reynolds American Inc
NKE,Nike Inc
MDT,Medtronic Inc
LUV,Southwest Airlines Company
APC,Anadarko Petroleum Corp
MPC,Marathon Petroleum Corp
FIT,Fitbit Inc
MO,Altria Group
PH,Parker-Hannifin Corp
HOT,Starwood Hotels & Resorts Worldwide
F,Ford Motor Company
MNK,Mallinckrodt Plc Ordinary Share
LNKD,Linkedin
PXD,Pioneer Natural Resources Company
MGM,MGM Resorts International
USB,U.S. Bancorp